content_id,client_id,score,action,reason_code,avg_position,impressions_90d,days_since_last_update,ctr
content_82107ddb4e14,client_8b940be7fb,95.1,refresh_priority_1,declining_page1_review,6.2,1599,20,0.5
content_142a53c529dc,client_8b940be7fb,93.5,refresh_priority_1,declining_page1_review,3.2,6703,20,0.3
content_e5f459e737b7,client_f369cb89fc,93.0,refresh_priority_1,declining_page1_review,5.9,56363,20,0.01
content_d6e1bbb4a996,client_d029fa3a95,92.4,refresh_priority_1,declining_page1_review,3.9,4955,20,0.0
content_e60afc334f4b,client_d029fa3a95,92.2,refresh_review,declining_review,13.1,2744,20,0.11
content_c82bc0c24241,client_f369cb89fc,92.2,refresh_priority_1,declining_page1_review,4.3,13676,8,0.0
content_8ba781dafa55,client_8527a891e2,92.0,refresh_priority_1,declining_page1_review,9.0,16156,104,0.0
content_5d5653c4eb4f,client_4e07408562,91.7,refresh_priority_1,declining_page1_review,5.7,15101,7,0.0
content_823ea9b9b355,client_f369cb89fc,91.4,refresh_priority_1,declining_page1_review,3.9,4369,20,0.0
content_acaab4530f70,client_d029fa3a95,91.2,refresh_priority_1,declining_page1_review,3.7,6570,20,0.02
content_0817fd3129f5,client_d029fa3a95,90.8,refresh_priority_1,declining_page1_review,3.9,1577,20,0.06
content_828bac012253,client_d029fa3a95,90.8,refresh_priority_1,declining_page1_review,7.4,12910,20,0.03
content_5f27fe74502d,client_d029fa3a95,90.8,refresh_priority_1,declining_page1_review,7.9,4618,8,0.02
content_11a4f985f14d,client_f369cb89fc,90.8,refresh_priority_1,declining_page1_review,3.7,17713,20,0.02
content_b2544dd3cd76,client_d029fa3a95,90.6,refresh_priority_1,declining_page1_review,5.2,1964,20,0.0
content_453722754fea,client_f369cb89fc,90.4,refresh_priority_1,declining_page1_review,7.6,140079,20,0.01
content_89b8af9c2e3d,client_d029fa3a95,90.4,refresh_priority_1,declining_page1_review,6.0,1738,20,0.0
content_26d48a980581,client_f369cb89fc,90.3,refresh_priority_1,declining_page1_review,4.6,1266,106,0.0
content_c65ee459f729,client_f369cb89fc,90.0,refresh_review,declining_review,17.4,6526,106,0.0
content_f890d20292b1,client_d029fa3a95,89.9,refresh_priority_1,declining_page1_review,6.3,2016,20,0.0
content_f44c380e8cff,client_d029fa3a95,89.5,refresh_priority_1,declining_page1_review,9.8,1713,8,0.0
content_e1bdad640bcf,client_d029fa3a95,89.4,refresh_priority_1,declining_page1_review,8.0,1532,20,0.0
content_1f1eb3e67ac9,client_d029fa3a95,89.2,refresh_priority_1,declining_page1_review,6.7,1249,20,0.0
content_901bf2676f2a,client_d029fa3a95,89.0,refresh_priority_1,declining_page1_review,7.4,989,20,0.0
content_825a9788af8d,client_4e07408562,89.0,refresh_priority_1,declining_page1_review,5.6,16786,104,0.0
content_1e0f4d1e74a2,client_8b940be7fb,89.0,refresh_priority_1,declining_page1_review,7.5,7982,20,0.36
content_cd5b1dd872c6,client_f369cb89fc,88.9,refresh_priority_1,declining_page1_review,7.5,3154,20,0.0
content_ca17a024f90c,client_4e07408562,88.8,refresh_priority_1,declining_page1_review,9.1,38815,7,0.01
content_4224b96648d2,client_8b940be7fb,88.7,refresh_priority_1,declining_page1_review,6.0,5436,20,0.42
content_f3dc9bef3289,client_d029fa3a95,88.6,refresh_priority_1,declining_page1_review,4.6,931,20,0.0
content_55f75c034970,client_d029fa3a95,88.6,refresh_priority_1,declining_page1_review,6.4,3998,8,0.03
content_865fd632a1f3,client_f369cb89fc,88.4,refresh_priority_1,declining_page1_review,6.1,39246,20,0.03
content_5d6debd7b6e1,client_d029fa3a95,88.4,refresh_priority_1,declining_page1_review,9.9,956,20,0.0
content_cba77b47c2c7,client_d029fa3a95,88.4,refresh_priority_1,declining_page1_review,5.6,905,20,0.0
content_c5ac46558df3,client_f369cb89fc,88.3,refresh_priority_1,declining_page1_review,7.1,4669,20,0.04
content_78dc113bf509,client_d029fa3a95,88.2,refresh_priority_1,declining_page1_review,6.7,1358,20,0.0
content_32a5eb93b4bc,client_f369cb89fc,88.2,refresh_review,declining_review,17.8,2072,20,0.0
content_1d9909fc2b04,client_d029fa3a95,88.0,refresh_priority_1,declining_page1_review,7.2,1122,20,0.0
content_41baf0722ad9,client_8527a891e2,87.9,refresh_review,declining_review,12.8,3115,104,0.0
content_1162806e4b35,client_f369cb89fc,87.9,refresh_priority_1,declining_page1_review,5.6,15715,20,0.04
content_87c007fb5c26,client_f369cb89fc,87.7,refresh_priority_1,declining_page1_review,6.6,2463,20,0.0
